,COUNT,mid_x,mid_y,mid_z,Ag_ppm_BESTEL,NBKRT,AG_SUBZONAS,HOLEID,CAPVAL1_PY,CAPPED1_PY,CAPVAL2_PY,CAPPED2_PY,CAPVAL3_PY,CAPPED3_PY,CAPVAL4_PY,CAPPED4_PY,CAPVAL5_PY,CAPPED5_PY,CAPVAL6_PY,CAPPED6_PY,AvgSin_PY,PROP_12_PY,Num_Data_PY,EXPAN_PY,EVALUADO_PY
104,6617,3233.3234,4278.1806,4055.3856,2.63,32,41,A055,2.63,0,2.63,0,2.63,0,2.63,0,2.63,0,2.63,0,0.0,0.0,0,0,0
105,6618,3234.6872,4276.7109,4053.5034,3.052,32,41,A055,3.052,0,3.052,0,3.052,0,3.052,0,3.052,0,3.052,0,0.0,0.0,0,0,0
106,6622,3240.1225,4270.8536,4045.7992,17.162666,32,41,A055,17.162666,0,17.162666,0,17.162666,0,17.162666,0,17.162666,0,17.162666,0,0.0,0.0,0,0,0
107,6623,3241.5722,4269.2913,4043.6879,80.606667,32,41,A055,80.606667,0,80.606667,0,80.606667,0,80.606667,0,80.606667,0,80.606667,0,0.0,0.0,0,0,0
108,6624,3243.0137,4267.738,4041.5644,31.836668,32,41,A055,31.836668,0,31.836668,0,31.836668,0,31.836668,0,31.836668,0,31.836668,0,0.0,0.0,0,0,0
109,6625,3244.4468,4266.1936,4039.4287,14.135,32,41,A055,14.135,0,14.135,0,14.135,0,14.135,0,14.135,0,14.135,0,0.0,0.0,0,0,0
110,6626,3245.8715,4264.6583,4037.2809,20.185001,32,41,A055,20.185001,0,20.185001,0,20.185001,0,20.185001,0,20.185001,0,20.185001,0,0.0,0.0,0,0,0
111,6627,3247.1598,4263.2699,4035.3218,15.261225,32,41,A055,15.261225,0,15.261225,0,15.261225,0,15.261225,0,15.261225,0,15.261225,0,0.0,0.0,0,0,0
112,7047,3545.6895,4691.2254,4151.6176,54.259998,32,41,A060,54.259998,0,54.259998,0,54.259998,0,54.259998,0,54.259998,0,54.259998,0,0.0,0.0,0,0,0
113,7048,3547.0413,4689.7548,4149.3793,37.267998,32,41,A060,37.267998,0,37.267998,0,37.267998,0,37.267998,0,37.267998,0,37.267998,0,0.0,0.0,0,0,0
114,7049,3548.3937,4688.2835,4147.1419,39.549999,32,41,A060,39.549999,0,39.549999,0,39.549999,0,39.549999,0,39.549999,0,39.549999,0,0.0,0.0,0,0,0
