mid_x,mid_y,mid_z,Ag_ppm_BESTEL,NBKRT,AG_SUBZONAS,HOLEID,x_rot,y_rot,z_rot,CAP1_P,CPD1_P,CAP2_P,CPD2_P,CAP3_P,CPD3_P,CAP4_P,CPD4_P,CAP5_P,CPD5_P,CAP6_P,CPD6_P,AVG_SN_P,AVG_CN_P,PROP_SN_P,PROP_CN_P,EVAL_P,NCOMP_P,NXPAN_P
3229.0,4283.0,4061.0,12.0,32,41,A055,0.0,0.0,0,12.0,0,12.0,0,12.0,0,12.0,0,12.0,0,12.0,0,0,0,0,0,0,0,0
3230.0,4281.0,4059.0,1.0,32,41,A055,0.0,0.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0
3232.0,4280.0,4057.0,1.0,32,41,A055,0.0,0.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0
3233.0,4278.0,4055.0,3.0,32,41,A055,0.0,0.0,0,3.0,0,3.0,0,3.0,0,3.0,0,3.0,0,3.0,0,0,0,0,0,0,0,0
3235.0,4277.0,4054.0,3.0,32,41,A055,0.0,0.0,0,3.0,0,3.0,0,3.0,0,3.0,0,3.0,0,3.0,0,0,0,0,0,0,0,0
3240.0,4271.0,4046.0,17.0,32,41,A055,0.0,0.0,0,17.0,0,17.0,0,17.0,0,17.0,0,17.0,0,17.0,0,0,0,0,0,0,0,0
3242.0,4269.0,4044.0,81.0,32,41,A055,0.0,0.0,0,81.0,0,81.0,0,81.0,0,81.0,0,81.0,0,81.0,0,0,0,0,0,0,0,0
3243.0,4268.0,4042.0,32.0,32,41,A055,0.0,0.0,0,32.0,0,32.0,0,32.0,0,32.0,0,32.0,0,32.0,0,0,0,0,0,0,0,0
3244.0,4266.0,4039.0,14.0,32,41,A055,0.0,0.0,0,14.0,0,14.0,0,14.0,0,14.0,0,14.0,0,14.0,0,0,0,0,0,0,0,0
3246.0,4265.0,4037.0,20.0,32,41,A055,0.0,0.0,0,20.0,0,20.0,0,20.0,0,20.0,0,20.0,0,20.0,0,0,0,0,0,0,0,0
3247.0,4263.0,4035.0,15.0,32,41,A055,0.0,0.0,0,15.0,0,15.0,0,15.0,0,15.0,0,15.0,0,15.0,0,0,0,0,0,0,0,0
3546.0,4691.0,4152.0,54.0,32,41,A060,0.0,0.0,0,54.0,0,54.0,0,54.0,0,54.0,0,54.0,0,54.0,0,0,0,0,0,0,0,0
3547.0,4690.0,4149.0,37.0,32,41,A060,0.0,0.0,0,37.0,0,37.0,0,37.0,0,37.0,0,37.0,0,37.0,0,0,0,0,0,0,0,0
3548.0,4688.0,4147.0,40.0,32,41,A060,0.0,0.0,0,40.0,0,40.0,0,40.0,0,40.0,0,40.0,0,40.0,0,0,0,0,0,0,0,0
3553.0,4683.0,4140.0,117.0,32,41,A060,0.0,0.0,0,117.0,0,117.0,0,117.0,0,117.0,0,117.0,0,117.0,0,0,0,0,0,0,0,0
3823.0,4814.0,4200.0,11.0,31,41,A062,-1230.360917343121,6022.967459074853,4200,11.0,0,11.0,0,11.0,0,11.0,0,11.0,0,11.0,0,0,0,0,0,0,0,0
3833.0,4803.0,4178.0,11.0,31,41,A062,-1215.5065523719468,6023.557239799491,4178,11.0,0,11.0,0,11.0,0,11.0,0,11.0,0,11.0,0,0,0,0,0,0,0,0
3835.0,4802.0,4175.0,11.0,31,41,A062,-1213.454932709455,6024.446541076042,4175,11.0,0,11.0,0,11.0,0,11.0,0,11.0,0,11.0,0,0,0,0,0,0,0,0
3836.0,4801.0,4173.0,9.0,31,41,A062,-1212.0461006566493,6024.569797909475,4173,9.0,0,9.0,0,9.0,0,9.0,0,9.0,0,9.0,0,0,0,0,0,0,0,0
3837.0,4799.0,4170.0,13.0,31,41,A062,-1209.871224160725,6024.050267133221,4170,13.0,0,13.0,0,13.0,0,13.0,0,13.0,0,13.0,0,0,0,0,0,0,0,0
3838.0,4798.0,4168.0,14.0,31,41,A062,-1208.4623921079196,6024.173523966653,4168,14.0,0,14.0,0,14.0,0,14.0,0,14.0,0,14.0,0,0,0,0,0,0,0,0
3860.0,4776.0,4126.0,7.0,31,42,A062,0.0,0.0,0,7.0,0,7.0,0,7.0,0,7.0,0,7.0,0,7.0,0,0,0,0,0,0,0,0
3861.0,4774.0,4124.0,3.0,31,42,A062,0.0,0.0,0,3.0,0,3.0,0,3.0,0,3.0,0,3.0,0,3.0,0,0,0,0,0,0,0,0
3862.0,4773.0,4121.0,9.0,31,42,A062,0.0,0.0,0,9.0,0,9.0,0,9.0,0,9.0,0,9.0,0,9.0,0,0,0,0,0,0,0,0
3864.0,4771.0,4118.0,6.0,31,42,A062,0.0,0.0,0,6.0,0,6.0,0,6.0,0,6.0,0,6.0,0,6.0,0,0,0,0,0,0,0,0
3867.0,4768.0,4113.0,6.0,31,42,A062,0.0,0.0,0,6.0,0,6.0,0,6.0,0,6.0,0,6.0,0,6.0,0,0,0,0,0,0,0,0
3868.0,4767.0,4111.0,11.0,31,42,A062,0.0,0.0,0,11.0,0,11.0,0,11.0,0,11.0,0,11.0,0,11.0,0,0,0,0,0,0,0,0
3869.0,4766.0,4108.0,10.0,31,42,A062,0.0,0.0,0,10.0,0,10.0,0,10.0,0,10.0,0,10.0,0,10.0,0,0,0,0,0,0,0,0
3870.0,4764.0,4106.0,38.0,31,42,A062,0.0,0.0,0,38.0,0,38.0,0,38.0,0,38.0,0,38.0,0,38.0,0,0,0,0,0,0,0,0
3872.0,4763.0,4104.0,25.0,31,42,A062,0.0,0.0,0,25.0,0,25.0,0,25.0,0,25.0,0,25.0,0,25.0,0,0,0,0,0,0,0,0
3873.0,4762.0,4101.0,32.0,31,42,A062,0.0,0.0,0,32.0,0,32.0,0,32.0,0,32.0,0,32.0,0,32.0,0,0,0,0,0,0,0,0
3874.0,4760.0,4099.0,12.0,31,42,A062,0.0,0.0,0,12.0,0,12.0,0,12.0,0,12.0,0,12.0,0,12.0,0,0,0,0,0,0,0,0
3876.0,4759.0,4097.0,5.0,31,42,A062,0.0,0.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,0,0,0,0,0,0,0
3877.0,4758.0,4094.0,7.0,31,42,A062,0.0,0.0,0,7.0,0,7.0,0,7.0,0,7.0,0,7.0,0,7.0,0,0,0,0,0,0,0,0
3878.0,4756.0,4092.0,14.0,31,42,A062,0.0,0.0,0,14.0,0,14.0,0,14.0,0,14.0,0,14.0,0,14.0,0,0,0,0,0,0,0,0
